Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_1605qcpar23_L00_R1_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_1605qcpar23_L00_R1_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	348515.0	52.2 Mbp	0.0	150.0	51.0	9.73415778373958	150.0	pass	pass	pass	warn	warn	warn	pass	fail	fail	fail
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_1605qcpar23_L00_R2_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_1605qcpar23_L00_R2_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	348515.0	52.2 Mbp	0.0	150.0	51.0	8.705794585598898	150.0	pass	pass	pass	warn	warn	pass	pass	fail	fail	fail
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_1640qcpar23_L00_R1_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_1640qcpar23_L00_R1_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	447974.0	67.1 Mbp	0.0	150.0	48.0	9.689848071539867	150.0	pass	pass	pass	pass	warn	pass	pass	fail	fail	warn
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_1640qcpar23_L00_R2_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_1640qcpar23_L00_R2_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	447974.0	67.1 Mbp	0.0	150.0	48.0	8.902525593003165	150.0	pass	pass	pass	pass	warn	pass	pass	fail	fail	warn
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_2412qcpar23_L00_R1_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_2412qcpar23_L00_R1_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	905047.0	135.7 Mbp	0.0	150.0	51.0	7.560601825098585	150.0	pass	pass	pass	warn	warn	pass	pass	fail	fail	fail
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_2412qcpar23_L00_R2_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_2412qcpar23_L00_R2_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	905047.0	135.7 Mbp	0.0	150.0	51.0	6.7193195491504865	150.0	pass	pass	pass	warn	warn	pass	pass	fail	fail	fail
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3453par23_L00_R1_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3453par23_L00_R1_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	5708056.0	856.2 Mbp	0.0	150.0	49.0	6.496787358380537	150.0	pass	pass	pass	pass	warn	pass	pass	fail	fail	fail
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3453par23_L00_R2_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3453par23_L00_R2_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	5708056.0	856.2 Mbp	0.0	150.0	49.0	5.706875256326531	150.0	pass	pass	pass	pass	warn	pass	pass	fail	fail	fail
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3454par23_L00_R1_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3454par23_L00_R1_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	2041732.0	306.2 Mbp	0.0	150.0	52.0	6.77881657639413	150.0	pass	pass	pass	pass	fail	pass	pass	fail	fail	pass
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3454par23_L00_R2_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3454par23_L00_R2_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	2041732.0	306.2 Mbp	0.0	150.0	52.0	6.486047758952118	150.0	pass	pass	pass	pass	fail	pass	pass	fail	fail	pass
