Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_1605qcpar23_L00_R1_fq_gz	90.26584221626042	51.0	150.0	30.0	348515.0
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_1605qcpar23_L00_R2_fq_gz	91.2942054144011	51.0	150.0	30.0	348515.0
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_1640qcpar23_L00_R1_fq_gz	90.31015192846013	48.0	150.0	20.0	447974.0
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_1640qcpar23_L00_R2_fq_gz	91.09747440699684	48.0	150.0	20.0	447974.0
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_2412qcpar23_L00_R1_fq_gz	92.43939817490141	51.0	150.0	30.0	905047.0
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_2412qcpar23_L00_R2_fq_gz	93.28068045084952	51.0	150.0	30.0	905047.0
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3453par23_L00_R1_fq_gz	93.50321264161946	49.0	150.0	30.0	5708056.0
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3453par23_L00_R2_fq_gz	94.29312474367347	49.0	150.0	30.0	5708056.0
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3454par23_L00_R1_fq_gz	93.22118342360586	52.0	150.0	30.0	2041732.0
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3454par23_L00_R2_fq_gz	93.51395224104789	52.0	150.0	30.0	2041732.0
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3455par23_L00_R1_fq_gz	92.94953479992179	52.0	150.0	20.0	1922876.0
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3455par23_L00_R2_fq_gz	93.47602903387472	52.0	150.0	20.0	1922876.0
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3456par23_L00_R1_fq_gz	93.34164218186146	50.0	150.0	30.0	3220595.0
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3456par23_L00_R2_fq_gz	93.4808446261595	50.0	150.0	30.0	3220595.0
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3457par23_L00_R1_fq_gz	93.5451003068299	51.0	150.0	20.0	4930879.0
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3457par23_L00_R2_fq_gz	94.06746082776561	51.0	150.0	20.0	4930879.0
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3458par23_L00_R1_fq_gz	95.4600166351641	57.0	150.0	30.0	5900636.0
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3458par23_L00_R2_fq_gz	95.83880177796323	56.0	150.0	30.0	5900636.0
