Module	Section	Sample Name	Source
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3580par23_L00_R1_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_71/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3522par23_L00_R1_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_57/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3457par23_L00_R2_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_14/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3584par23_L00_R2_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_80/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_1640qcpar23_L00_R2_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_2/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3462par23_L00_R1_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_23/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3517par23_L00_R1_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_47/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3579par23_L00_R2_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_70/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3521par23_L00_R2_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_56/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_1605qcpar23_L00_R2_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_1/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3457par23_L00_R1_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_13/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3526par23_L00_R1_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_65/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3461par23_L00_R2_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_22/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3581par23_L00_R2_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_74/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3476par23_L00_R1_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_31/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3459par23_L00_R1_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_17/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3525par23_L00_R2_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_64/fastqc_data.txt
