Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
1605qcpar23_S137_L001_R1_001_fastq_gz	1605qcpar23_S137_L001_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	45072.0	5.9 Mbp	0.0	35-150	53.0	14.084132055378063	130.79437344692937	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
1605qcpar23_S137_L001_R2_001_fastq_gz	1605qcpar23_S137_L001_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	45072.0	5.9 Mbp	0.0	35-150	53.0	16.369364572239974	131.3121893858715	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
1605qcpar23_S137_L002_R1_001_fastq_gz	1605qcpar23_S137_L002_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	42352.0	5.5 Mbp	0.0	35-150	53.0	14.136286361919154	131.13574329429542	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
1605qcpar23_S137_L002_R2_001_fastq_gz	1605qcpar23_S137_L002_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	42352.0	5.5 Mbp	0.0	35-150	53.0	17.00273894975444	131.68003872308273	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
1605qcpar23_S137_L003_R1_001_fastq_gz	1605qcpar23_S137_L003_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	46925.0	6.1 Mbp	0.0	35-150	53.0	14.141715503462974	130.96277037826317	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
1605qcpar23_S137_L003_R2_001_fastq_gz	1605qcpar23_S137_L003_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	46925.0	6.1 Mbp	0.0	35-150	53.0	16.2898241875333	131.40882258923816	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
1605qcpar23_S137_L004_R1_001_fastq_gz	1605qcpar23_S137_L004_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	43968.0	5.7 Mbp	0.0	35-150	53.0	13.930585880640468	130.9585152838428	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
1605qcpar23_S137_L004_R2_001_fastq_gz	1605qcpar23_S137_L004_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	43968.0	5.7 Mbp	0.0	35-150	53.0	16.675764192139738	131.4821233624454	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
1640qcpar23_S138_L001_R1_001_fastq_gz	1640qcpar23_S138_L001_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	61262.0	8.8 Mbp	0.0	35-150	48.0	13.89931768469851	144.25234239822402	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
1640qcpar23_S138_L001_R2_001_fastq_gz	1640qcpar23_S138_L001_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	61262.0	8.8 Mbp	0.0	35-150	48.0	17.273350527243643	144.37902778231205	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
