Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
1605qcpar23_S137_L001_R1_001_fastq_gz	85.91586794462194	53.0	130.79437344692937	36.36363636363637	45072.0
1605qcpar23_S137_L001_R2_001_fastq_gz	83.63063542776003	53.0	131.3121893858715	36.36363636363637	45072.0
1605qcpar23_S137_L002_R1_001_fastq_gz	85.86371363808084	53.0	131.13574329429542	36.36363636363637	42352.0
1605qcpar23_S137_L002_R2_001_fastq_gz	82.99726105024556	53.0	131.68003872308273	36.36363636363637	42352.0
1605qcpar23_S137_L003_R1_001_fastq_gz	85.85828449653702	53.0	130.96277037826317	36.36363636363637	46925.0
1605qcpar23_S137_L003_R2_001_fastq_gz	83.7101758124667	53.0	131.40882258923816	36.36363636363637	46925.0
1605qcpar23_S137_L004_R1_001_fastq_gz	86.06941411935954	53.0	130.9585152838428	36.36363636363637	43968.0
1605qcpar23_S137_L004_R2_001_fastq_gz	83.32423580786026	53.0	131.4821233624454	36.36363636363637	43968.0
1640qcpar23_S138_L001_R1_001_fastq_gz	86.1006823153015	48.0	144.25234239822402	36.36363636363637	61262.0
1640qcpar23_S138_L001_R2_001_fastq_gz	82.72664947275635	48.0	144.37902778231205	27.27272727272727	61262.0
1640qcpar23_S138_L002_R1_001_fastq_gz	85.82460299475308	48.0	144.22026600658916	36.36363636363637	57367.0
1640qcpar23_S138_L002_R2_001_fastq_gz	82.76883922812766	48.0	144.3623686091307	27.27272727272727	57367.0
1640qcpar23_S138_L003_R1_001_fastq_gz	86.0922182839991	48.0	144.34090110802438	36.36363636363637	62634.0
1640qcpar23_S138_L003_R2_001_fastq_gz	83.40517929559026	48.0	144.4499313471916	36.36363636363637	62634.0
1640qcpar23_S138_L004_R1_001_fastq_gz	85.75739493649306	48.0	144.08573864120706	36.36363636363637	58655.0
1640qcpar23_S138_L004_R2_001_fastq_gz	82.70906146108601	48.0	144.18596880061375	27.27272727272727	58655.0
2412qcpar23_S136_L001_R1_001_fastq_gz	88.3590757228568	52.0	138.31761094299358	27.27272727272727	114338.0
2412qcpar23_S136_L001_R2_001_fastq_gz	85.55948153719673	52.0	138.65612482289353	27.27272727272727	114338.0
2412qcpar23_S136_L002_R1_001_fastq_gz	88.23238589192265	52.0	138.21662111360902	27.27272727272727	107201.0
2412qcpar23_S136_L002_R2_001_fastq_gz	85.12793723939143	52.0	138.52777492747268	27.27272727272727	107201.0
2412qcpar23_S136_L003_R1_001_fastq_gz	88.39716481029245	52.0	138.28146830833114	27.27272727272727	117523.0
2412qcpar23_S136_L003_R2_001_fastq_gz	85.80277903048764	52.0	138.5314704355743	27.27272727272727	117523.0
2412qcpar23_S136_L004_R1_001_fastq_gz	88.31336622034297	52.0	138.2917186173	27.27272727272727	110682.0
2412qcpar23_S136_L004_R2_001_fastq_gz	85.47460291646338	52.0	138.6283135469182	27.27272727272727	110682.0
3453par23_S97_L001_R1_001_fastq_gz	90.93147989723144	50.0	139.61605056016504	27.27272727272727	732909.0
3453par23_S97_L001_R2_001_fastq_gz	89.01541664790581	50.0	139.7889628862519	27.27272727272727	732909.0
3453par23_S97_L002_R1_001_fastq_gz	90.80953322324814	50.0	139.76639939995815	27.27272727272727	687952.0
3453par23_S97_L002_R2_001_fastq_gz	88.62696816056933	50.0	139.95823109751842	27.27272727272727	687952.0
3453par23_S97_L003_R1_001_fastq_gz	90.99214125806301	50.0	139.6956574305966	27.27272727272727	752665.0
3453par23_S97_L003_R2_001_fastq_gz	89.29988773225804	50.0	139.84978177542465	27.27272727272727	752665.0
3453par23_S97_L004_R1_001_fastq_gz	90.88776290874328	50.0	139.63123411729268	27.27272727272727	707137.0
3453par23_S97_L004_R2_001_fastq_gz	88.77190699963373	50.0	139.8143669472818	27.27272727272727	707137.0
3454par23_S98_L001_R1_001_fastq_gz	90.27448271719871	52.0	146.4057178894261	36.36363636363637	266392.0
3454par23_S98_L001_R2_001_fastq_gz	87.1921829484369	52.0	146.4780849274753	36.36363636363637	266392.0
3454par23_S98_L002_R1_001_fastq_gz	90.04144232076996	52.0	146.46319393886057	36.36363636363637	249986.0
3454par23_S98_L002_R2_001_fastq_gz	86.87566503724209	52.0	146.55673917739392	36.36363636363637	249986.0
3454par23_S98_L003_R1_001_fastq_gz	90.34001661448943	52.0	146.43600338093978	36.36363636363637	275663.0
3454par23_S98_L003_R2_001_fastq_gz	87.56887939259168	52.0	146.4993923740219	36.36363636363637	275663.0
3454par23_S98_L004_R1_001_fastq_gz	90.12854349761143	52.0	146.44732515246807	36.36363636363637	257267.0
3454par23_S98_L004_R2_001_fastq_gz	86.94002728682653	52.0	146.52984642414302	36.36363636363637	257267.0
3455par23_S99_L001_R1_001_fastq_gz	89.0425765280686	52.0	145.9199720809652	27.27272727272727	250725.0
3455par23_S99_L001_R2_001_fastq_gz	87.09263136902982	52.0	145.98624389271114	36.36363636363637	250725.0
3455par23_S99_L002_R1_001_fastq_gz	88.93622031681686	52.0	145.94433207318662	27.27272727272727	237803.0
3455par23_S99_L002_R2_001_fastq_gz	86.81513689902987	52.0	146.0076744195826	36.36363636363637	237803.0
3455par23_S99_L003_R1_001_fastq_gz	89.14860352448416	52.0	145.96714084425486	36.36363636363637	259045.0
3455par23_S99_L003_R2_001_fastq_gz	87.44040610704704	52.0	146.00448184678336	36.36363636363637	259045.0
3455par23_S99_L004_R1_001_fastq_gz	89.05562880283017	52.0	145.9300238303866	36.36363636363637	244226.0
3455par23_S99_L004_R2_001_fastq_gz	86.9698557893099	52.0	145.99762924504353	36.36363636363637	244226.0
3456par23_S100_L001_R1_001_fastq_gz	90.32326285423706	50.0	146.7599124595446	36.36363636363637	420834.0
3456par23_S100_L001_R2_001_fastq_gz	87.92968248763171	50.0	146.81295950422256	36.36363636363637	420834.0
3456par23_S100_L002_R1_001_fastq_gz	90.20703270088889	50.0	146.77812037305574	36.36363636363637	393078.0
3456par23_S100_L002_R2_001_fastq_gz	87.53402632556389	50.0	146.85242114796554	36.36363636363637	393078.0
3456par23_S100_L003_R1_001_fastq_gz	90.51328803961901	51.0	146.81429958905804	36.36363636363637	436558.0
3456par23_S100_L003_R2_001_fastq_gz	88.28563444032638	50.0	146.85201279096935	36.36363636363637	436558.0
3456par23_S100_L004_R1_001_fastq_gz	90.28903802242635	50.0	146.73963967769268	36.36363636363637	402473.0
3456par23_S100_L004_R2_001_fastq_gz	87.63494694054012	50.0	146.8097313360151	36.36363636363637	402473.0
3457par23_S101_L001_R1_001_fastq_gz	91.2555441507444	51.0	144.89610897140113	27.27272727272727	637158.0
3457par23_S101_L001_R2_001_fastq_gz	89.26671249517388	51.0	144.96461474234022	36.36363636363637	637158.0
3457par23_S101_L002_R1_001_fastq_gz	91.10651378613089	51.0	145.00157789543812	27.27272727272727	598899.0
3457par23_S101_L002_R2_001_fastq_gz	88.97026042788517	51.0	145.07789460326364	36.36363636363637	598899.0
3457par23_S101_L003_R1_001_fastq_gz	91.36998932128648	51.0	145.01255470372266	27.27272727272727	658319.0
3457par23_S101_L003_R2_001_fastq_gz	89.61840688177008	51.0	145.0637715150254	36.36363636363637	658319.0
3457par23_S101_L004_R1_001_fastq_gz	91.18880799912685	51.0	144.91829663428723	27.27272727272727	613867.0
3457par23_S101_L004_R2_001_fastq_gz	89.07043382361326	51.0	144.98482896132225	27.27272727272727	613867.0
3458par23_S102_L001_R1_001_fastq_gz	94.71519977400264	57.0	145.9064157110402	36.36363636363637	757531.0
3458par23_S102_L001_R2_001_fastq_gz	92.86141425235402	57.0	145.99276597261365	36.36363636363637	757531.0
3458par23_S102_L002_R1_001_fastq_gz	94.64606604978466	57.0	146.00960256664646	36.36363636363637	715642.0
3458par23_S102_L002_R2_001_fastq_gz	92.66462840358727	57.0	146.1076809354398	36.36363636363637	715642.0
3458par23_S102_L003_R1_001_fastq_gz	94.82864814344055	58.0	146.01627833151844	36.36363636363637	790683.0
3458par23_S102_L003_R2_001_fastq_gz	93.2176358920073	57.0	146.0808035584425	36.36363636363637	790683.0
3458par23_S102_L004_R1_001_fastq_gz	94.75490397382723	57.0	145.95203345516268	36.36363636363637	730530.0
3458par23_S102_L004_R2_001_fastq_gz	92.7330841991431	57.0	146.03543454752028	36.36363636363637	730530.0
3459par23_S103_L001_R1_001_fastq_gz	92.04098260262957	51.0	147.6505917165015	36.36363636363637	563361.0
3459par23_S103_L001_R2_001_fastq_gz	89.82286668761239	51.0	147.67147353118162	36.36363636363637	563361.0
3459par23_S103_L002_R1_001_fastq_gz	91.91477799743285	51.0	147.64055165693833	36.36363636363637	533665.0
3459par23_S103_L002_R2_001_fastq_gz	89.58766267227568	51.0	147.67937376444024	36.36363636363637	533665.0
3459par23_S103_L003_R1_001_fastq_gz	92.17662298394023	51.0	147.66801414248312	36.36363636363637	582076.0
3459par23_S103_L003_R2_001_fastq_gz	90.13719857887973	51.0	147.6942959338643	36.36363636363637	582076.0
3459par23_S103_L004_R1_001_fastq_gz	91.97248926967745	51.0	147.6358314784265	36.36363636363637	544951.0
3459par23_S103_L004_R2_001_fastq_gz	89.66622687177379	51.0	147.66304860436995	36.36363636363637	544951.0
3460par23_S104_L001_R1_001_fastq_gz	85.36481986073267	55.0	116.51769771588118	36.36363636363637	148635.0
3460par23_S104_L001_R2_001_fastq_gz	83.7629091398392	54.0	117.13870218992835	36.36363636363637	148635.0
3460par23_S104_L002_R1_001_fastq_gz	85.2402225766641	55.0	116.8840854798317	36.36363636363637	138559.0
3460par23_S104_L002_R2_001_fastq_gz	83.28149019551238	54.0	117.6307277044436	36.36363636363637	138559.0
3460par23_S104_L003_R1_001_fastq_gz	85.67014723805131	55.0	117.193840376824	36.36363636363637	151795.0
3460par23_S104_L003_R2_001_fastq_gz	84.0528344148358	55.0	117.78607991040548	36.36363636363637	151795.0
3460par23_S104_L004_R1_001_fastq_gz	85.35670550365627	55.0	116.76161086036178	36.36363636363637	142905.0
3460par23_S104_L004_R2_001_fastq_gz	83.40226024281866	54.0	117.4421188901718	36.36363636363637	142905.0
3461par23_S105_L001_R1_001_fastq_gz	81.47252870802393	52.0	94.22320456670943	27.27272727272727	195677.0
3461par23_S105_L001_R2_001_fastq_gz	79.02717232991102	51.0	95.79163110636406	27.27272727272727	195677.0
3461par23_S105_L002_R1_001_fastq_gz	81.11616761201249	52.0	94.53801719210307	27.27272727272727	181944.0
3461par23_S105_L002_R2_001_fastq_gz	78.6406806489909	51.0	96.14760585674713	27.27272727272727	181944.0
3461par23_S105_L003_R1_001_fastq_gz	81.45791292881262	52.0	94.6440680505884	27.27272727272727	200204.0
3461par23_S105_L003_R2_001_fastq_gz	79.54486423847675	52.0	96.034205110787	27.27272727272727	200204.0
3461par23_S105_L004_R1_001_fastq_gz	81.39683282461421	52.0	94.22135131398429	27.27272727272727	188054.0
3461par23_S105_L004_R2_001_fastq_gz	78.95817158901167	51.0	95.69692216065599	27.27272727272727	188054.0
3462par23_S106_L001_R1_001_fastq_gz	90.38589306525219	54.0	143.784570267827	27.27272727272727	367252.0
3462par23_S106_L001_R2_001_fastq_gz	86.33281779268731	53.0	143.98789387123827	27.27272727272727	367252.0
3462par23_S106_L002_R1_001_fastq_gz	90.24239215039482	54.0	143.92949591576317	27.27272727272727	345597.0
3462par23_S106_L002_R2_001_fastq_gz	86.28402445623081	53.0	144.14484500733514	27.27272727272727	345597.0
3462par23_S106_L003_R1_001_fastq_gz	90.40827814046956	54.0	143.88204333713853	27.27272727272727	380182.0
3462par23_S106_L003_R2_001_fastq_gz	87.01148397346535	53.0	144.03899711190957	27.27272727272727	380182.0
3462par23_S106_L004_R1_001_fastq_gz	90.30305420273281	54.0	143.8267416673474	27.27272727272727	355019.0
3462par23_S106_L004_R2_001_fastq_gz	86.35706821325056	53.0	144.02511696557085	27.27272727272727	355019.0
3473par23_S107_L001_R1_001_fastq_gz	57.89399492528898	55.0	75.83027910910629	36.36363636363637	7094.0
3473par23_S107_L001_R2_001_fastq_gz	56.1319424866084	54.0	77.60360868339441	36.36363636363637	7094.0
3473par23_S107_L002_R1_001_fastq_gz	57.5734394124847	54.0	75.6485618115055	36.36363636363637	6536.0
3473par23_S107_L002_R2_001_fastq_gz	56.42594859241126	54.0	77.71389228886169	36.36363636363637	6536.0
3473par23_S107_L003_R1_001_fastq_gz	58.6450540315877	55.0	77.36783042394015	36.36363636363637	7218.0
3473par23_S107_L003_R2_001_fastq_gz	57.037960653920756	55.0	79.21016902188973	36.36363636363637	7218.0
3473par23_S107_L004_R1_001_fastq_gz	57.69230769230769	55.0	75.81021681021682	36.36363636363637	6734.0
3473par23_S107_L004_R2_001_fastq_gz	55.58360558360558	54.0	77.96020196020196	36.36363636363637	6734.0
3474par23_S108_L001_R1_001_fastq_gz	87.49822209951222	52.0	142.39125105628204	27.27272727272727	239046.0
3474par23_S108_L001_R2_001_fastq_gz	85.03342452917012	52.0	142.5412849409737	27.27272727272727	239046.0
3474par23_S108_L002_R1_001_fastq_gz	87.44549678341673	52.0	142.43231325947104	27.27272727272727	223840.0
3474par23_S108_L002_R2_001_fastq_gz	84.81325947105076	52.0	142.5805709435311	27.27272727272727	223840.0
3474par23_S108_L003_R1_001_fastq_gz	87.7154095400835	52.0	142.39356874566764	27.27272727272727	248132.0
3474par23_S108_L003_R2_001_fastq_gz	85.52826721261263	52.0	142.5318338626215	27.27272727272727	248132.0
3474par23_S108_L004_R1_001_fastq_gz	87.51864678839057	52.0	142.42360269037172	27.27272727272727	229262.0
3474par23_S108_L004_R2_001_fastq_gz	84.87189329239037	52.0	142.5766284861861	27.27272727272727	229262.0
3475par23_S109_L001_R1_001_fastq_gz	91.31302381269123	52.0	144.2189384062791	27.27272727272727	563775.0
3475par23_S109_L001_R2_001_fastq_gz	88.65061416345173	51.0	144.32054809099375	27.27272727272727	563775.0
3475par23_S109_L002_R1_001_fastq_gz	91.15685117252661	52.0	144.23962356174053	27.27272727272727	526939.0
3475par23_S109_L002_R2_001_fastq_gz	88.484625355117	51.0	144.3646437253648	27.27272727272727	526939.0
3475par23_S109_L003_R1_001_fastq_gz	91.4433791848193	52.0	144.31063896153753	27.27272727272727	583478.0
3475par23_S109_L003_R2_001_fastq_gz	89.09453312721303	52.0	144.38823571754205	27.27272727272727	583478.0
3475par23_S109_L004_R1_001_fastq_gz	91.22917083064988	52.0	144.23029603144641	27.27272727272727	540348.0
3475par23_S109_L004_R2_001_fastq_gz	88.5251726665038	51.0	144.33879462864672	27.27272727272727	540348.0
3476par23_S110_L001_R1_001_fastq_gz	93.02734619857925	51.0	147.1858749579523	36.36363636363637	805633.0
3476par23_S110_L001_R2_001_fastq_gz	90.40654988065285	51.0	147.22382399926516	36.36363636363637	805633.0
3476par23_S110_L002_R1_001_fastq_gz	92.94115617414938	51.0	147.23877128793941	36.36363636363637	753537.0
3476par23_S110_L002_R2_001_fastq_gz	90.24254947003266	51.0	147.30591331281676	36.36363636363637	753537.0
3476par23_S110_L003_R1_001_fastq_gz	93.12922667248299	51.0	147.19252833960306	36.36363636363637	834433.0
3476par23_S110_L003_R2_001_fastq_gz	90.83461464251774	51.0	147.22419535181373	36.36363636363637	834433.0
3476par23_S110_L004_R1_001_fastq_gz	92.97324071684848	51.0	147.18164466441652	36.36363636363637	771209.0
3476par23_S110_L004_R2_001_fastq_gz	90.34853068364089	51.0	147.2344708114143	36.36363636363637	771209.0
3477par23_S111_L001_R1_001_fastq_gz	75.90704779811392	51.0	120.30162460706836	36.36363636363637	34039.0
3477par23_S111_L001_R2_001_fastq_gz	72.65195804812127	51.0	121.16290137783132	36.36363636363637	34039.0
3477par23_S111_L002_R1_001_fastq_gz	75.30763178599528	51.0	120.53246262785208	36.36363636363637	31775.0
3477par23_S111_L002_R2_001_fastq_gz	72.46892210857592	51.0	121.42590086546026	36.36363636363637	31775.0
3477par23_S111_L003_R1_001_fastq_gz	75.94086399280474	51.0	120.5966721942719	36.36363636363637	35579.0
3477par23_S111_L003_R2_001_fastq_gz	73.39722870232441	51.0	121.33174063351977	36.36363636363637	35579.0
3477par23_S111_L004_R1_001_fastq_gz	75.61110769041315	51.0	119.78298750076965	36.36363636363637	32482.0
3477par23_S111_L004_R2_001_fastq_gz	73.03121728957576	51.0	120.70596022412413	36.36363636363637	32482.0
3478par23_S112_L001_R1_001_fastq_gz	89.47458757718908	51.0	137.7144345058143	27.27272727272727	512702.0
3478par23_S112_L001_R2_001_fastq_gz	86.63083038490196	51.0	138.02548263903788	27.27272727272727	512702.0
3478par23_S112_L002_R1_001_fastq_gz	89.25160581915043	51.0	137.84971996017026	27.27272727272727	479039.0
3478par23_S112_L002_R2_001_fastq_gz	86.37772707441357	51.0	138.16413277415828	27.27272727272727	479039.0
3478par23_S112_L003_R1_001_fastq_gz	89.55543905437924	51.0	137.94626006079852	27.27272727272727	530276.0
3478par23_S112_L003_R2_001_fastq_gz	87.062774856867	51.0	138.18626149401445	27.27272727272727	530276.0
3478par23_S112_L004_R1_001_fastq_gz	89.35409121476548	51.0	137.70628651061796	27.27272727272727	493692.0
3478par23_S112_L004_R2_001_fastq_gz	86.4638276496277	51.0	137.99694141286471	27.27272727272727	493692.0
3479par23_S113_L001_R1_001_fastq_gz	92.20568223067612	50.0	147.77147307200892	36.36363636363637	625353.0
3479par23_S113_L001_R2_001_fastq_gz	89.27565710886492	50.0	147.79548031271938	36.36363636363637	625353.0
3479par23_S113_L002_R1_001_fastq_gz	92.04365521428778	50.0	147.7887650921559	36.36363636363637	587971.0
3479par23_S113_L002_R2_001_fastq_gz	88.93261742500906	50.0	147.85169166506512	36.36363636363637	587971.0
3479par23_S113_L003_R1_001_fastq_gz	92.31096452020591	50.0	147.79414937887242	36.36363636363637	648820.0
3479par23_S113_L003_R2_001_fastq_gz	89.54609907216177	50.0	147.81674886717425	36.36363636363637	648820.0
3479par23_S113_L004_R1_001_fastq_gz	92.1721125784571	50.0	147.77245106008715	36.36363636363637	600328.0
3479par23_S113_L004_R2_001_fastq_gz	89.01167361842192	50.0	147.82044982076465	36.36363636363637	600328.0
3480par23_S114_L001_R1_001_fastq_gz	86.85718571857186	48.0	127.30350535053505	36.36363636363637	199980.0
3480par23_S114_L001_R2_001_fastq_gz	83.78737873787378	48.0	127.88377337733773	36.36363636363637	199980.0
3480par23_S114_L002_R1_001_fastq_gz	86.64965941106608	48.0	127.46582127469203	36.36363636363637	187763.0
3480par23_S114_L002_R2_001_fastq_gz	83.64107944589722	48.0	128.07924884029336	36.36363636363637	187763.0
3480par23_S114_L003_R1_001_fastq_gz	86.80142456501277	48.0	127.40293937835399	36.36363636363637	206098.0
3480par23_S114_L003_R2_001_fastq_gz	84.2895127560675	48.0	127.86090597676834	36.36363636363637	206098.0
3480par23_S114_L004_R1_001_fastq_gz	86.7218553249181	48.0	127.1580939371219	36.36363636363637	194726.0
3480par23_S114_L004_R2_001_fastq_gz	83.75255487197396	48.0	127.7573410843955	36.36363636363637	194726.0
3514par23_S115_L001_R1_001_fastq_gz	92.21310344267751	53.0	146.88271030692675	36.36363636363637	615945.0
3514par23_S115_L001_R2_001_fastq_gz	89.58592082085251	53.0	146.9376778770832	36.36363636363637	615945.0
3514par23_S115_L002_R1_001_fastq_gz	92.0964490698235	53.0	146.91581992480624	36.36363636363637	584889.0
3514par23_S115_L002_R2_001_fastq_gz	89.3743941158066	53.0	146.99272682508987	36.36363636363637	584889.0
3514par23_S115_L003_R1_001_fastq_gz	92.31811202818241	53.0	146.93670961054346	36.36363636363637	641535.0
